site_index	x	y
1	0	-6
2	-3	-5
3	-2	-5
4	-1	-5
5	0	-5
6	1	-5
7	2	-5
8	3	-5
9	-4	-4
10	-3	-4
11	-2	-4
12	-1	-4
13	0	-4
14	1	-4
15	2	-4
16	3	-4
17	4	-4
18	-5	-3
19	-4	-3
20	-3	-3
21	-2	-3
22	-1	-3
23	0	-3
24	1	-3
25	2	-3
26	3	-3
27	4	-3
28	5	-3
29	-5	-2
30	-4	-2
31	-3	-2
32	-2	-2
33	-1	-2
34	0	-2
35	1	-2
36	2	-2
37	3	-2
38	4	-2
39	5	-2
40	-5	-1
41	-4	-1
42	-3	-1
43	-2	-1
44	-1	-1
45	0	-1
46	1	-1
47	2	-1
48	3	-1
49	4	-1
50	5	-1
51	-6	0
52	-5	0
53	-4	0
54	-3	0
55	-2	0
56	-1	0
57	0	0
58	1	0
59	2	0
60	3	0
61	4	0
62	5	0
63	6	0
64	-5	1
65	-4	1
66	-3	1
67	-2	1
68	-1	1
69	0	1
70	1	1
71	2	1
72	3	1
73	4	1
74	5	1
75	-5	2
76	-4	2
77	-3	2
78	-2	2
79	-1	2
80	0	2
81	1	2
82	2	2
83	3	2
84	4	2
85	5	2
86	-5	3
87	-4	3
88	-3	3
89	-2	3
90	-1	3
91	0	3
92	1	3
93	2	3
94	3	3
95	4	3
96	5	3
97	-4	4
98	-3	4
99	-2	4
100	-1	4
101	0	4
102	1	4
103	2	4
104	3	4
105	4	4
106	-3	5
107	-2	5
108	-1	5
109	0	5
110	1	5
111	2	5
112	3	5
113	0	6
