beta	total_energy	total_energy_per_site	total_energy_per_particle
1.000000000000	-3.519503052316	-0.439937881539	-0.439937881539
2.000000000000	-5.143711175791	-0.642963896974	-0.642963896974
3.000000000000	-5.697741026116	-0.712217628265	-0.712217628265
4.000000000000	-5.870005662983	-0.733750707873	-0.733750707873
5.000000000000	-5.922655132577	-0.740331891572	-0.740331891572
6.000000000000	-5.940962072093	-0.742620259012	-0.742620259012
7.000000000000	-5.948233915264	-0.743529239408	-0.743529239408
8.000000000000	-5.951405338507	-0.743925667313	-0.743925667313
9.000000000000	-5.952869310775	-0.744108663847	-0.744108663847
10.000000000000	-5.953567547417	-0.744195943427	-0.744195943427
11.000000000000	-5.953906790409	-0.744238348801	-0.744238348801
12.000000000000	-5.954073351959	-0.744259168995	-0.744259168995
13.000000000000	-5.954155620629	-0.744269452579	-0.744269452579
14.000000000000	-5.954196394517	-0.744274549315	-0.744274549315
15.000000000000	-5.954216642737	-0.744277080342	-0.744277080342
16.000000000000	-5.954226709438	-0.744278338680	-0.744278338680
17.000000000000	-5.954231717557	-0.744278964695	-0.744278964695
18.000000000000	-5.954234210022	-0.744279276253	-0.744279276253
19.000000000000	-5.954235450761	-0.744279431345	-0.744279431345
20.000000000000	-5.954236068476	-0.744279508559	-0.744279508559
