beta	nup	ndn	multiplicity	logz_sector	normalized_weight
1.2	0.0	36.0	2.0	0.0	1.9347393422698693e-17
1.2	1.0	35.0	2.0	-627945.5637223615	0.0
1.2	2.0	34.0	2.0	11.068761893699046	1.2408653998485618e-12
1.2	3.0	33.0	2.0	15.496398078190227	1.039016962525699e-10
1.2	4.0	32.0	2.0	18.80011904992845	2.8275508602229028e-9
1.2	5.0	31.0	2.0	22.78121084803366	1.5148743961063687e-7
1.2	6.0	30.0	2.0	24.43214621148818	7.895301945397111e-7
1.2	7.0	29.0	2.0	27.221003447406872	1.2839675624368502e-5
1.2	8.0	28.0	2.0	28.976288624254043	7.427877256327825e-5
1.2	9.0	27.0	2.0	31.44889505503099	0.0008804486813161443
1.2	10.0	26.0	2.0	32.163736850783096	0.0017995167550429031
1.2	11.0	25.0	2.0	34.127508304353995	0.01282363064463411
1.2	12.0	24.0	2.0	34.76087692368491	0.024159030219483832
1.2	13.0	23.0	2.0	35.03017172391676	0.03162516083007769
1.2	14.0	22.0	2.0	35.98131966474163	0.0818674088561047
1.2	15.0	21.0	2.0	36.80235497818427	0.18607248216035507
1.2	16.0	20.0	2.0	37.257867759155346	0.29343292194321136
1.2	17.0	19.0	2.0	37.07777852633656	0.2450739091350811
1.2	18.0	18.0	1.0	37.0748401910764	0.12217742837617775
