beta_digitized	energy_per_particle_digitized	x_px	y_px
0.499999	-0.160067	354.807	149.905
1.199997	-0.534951	466.692	790.628
2.399994	-0.718655	658.495	1104.600
3.599991	-0.794478	850.298	1234.190
4.999999	-0.838471	1074.070	1309.380
5.999960	-0.850752	1233.900	1330.370
7.200001	-0.852432	1425.710	1333.240
8.399979	-0.855574	1617.510	1338.610
8.999968	-0.854784	1713.410	1337.260
9.999992	-0.855304	1873.250	1338.150
10.999953	-0.856018	2033.080	1339.370
11.999976	-0.856814	2192.920	1340.730
