radius	nsites	canonical_n	target_density	kappa_grand_canonical_beta1	kappa_grand_canonical_beta100
4	49	25	0.510204081633	1.575538746430e-01	4.535147392290e+00
6	113	57	0.504424778761	1.533215272930e-01	2.859087814990e+00
8	197	99	0.502538071066	1.515675266586e-01	2.149896911355e+00
10	317	159	0.501577287066	1.504292367993e-01	1.652635018520e+00
12	441	221	0.501133786848	1.499506274850e-01	1.416791127367e+00
14	613	307	0.500815660685	1.494164436400e-01	1.188497274293e+00
16	797	399	0.500627352572	1.490733462612e-01	1.049200824889e+00
18	1009	505	0.500495540139	1.488109417573e-01	9.407744814401e-01
20	1257	629	0.500397772474	1.485825584418e-01	8.506321308688e-01
